Plate_Name,Day,Total_Dead
26-09-19 C(L),1,0
26-09-19 C(L),2,0
26-09-19 C(L),3,0
26-09-19 C(L),4,0
26-09-19 C(L),5,3
26-09-19 C(L),6,4
26-09-19 C(L),7,4
26-09-19 C(L),8,4
26-09-19 C(L),9,6
26-09-19 C(L),10,6
26-09-19 C(L),11,6
26-09-19 C(L),12,7
26-09-19 C(L),13,7
26-09-19 C(L),14,7
26-09-19 C(L),15,8
26-09-19 C(L),16,8
26-09-19 C(L),17,8
26-09-19 C(L),18,9
26-09-19 C(L),19,9
26-09-19 C(L),20,9
