Plate_Name,Day,Total_Dead
27-06-19 B2,1,0
27-06-19 B2,2,0
27-06-19 B2,3,0
27-06-19 B2,4,0
27-06-19 B2,12,5
27-06-19 B2,13,5
27-06-19 B2,14,5
27-06-19 B2,15,6
27-06-19 B2,16,6
27-06-19 B2,17,6
27-06-19 B2,18,9
27-06-19 B2,19,10
27-06-19 B2,20,10
27-06-19 B2,21,10
27-06-19 B2,22,11
27-06-19 B2,5,0
27-06-19 B2,6,0
27-06-19 B2,7,0
27-06-19 B2,8,4
27-06-19 B2,9,4
27-06-19 B2,10,4
27-06-19 B2,11,4
