Plate_Name,Day,Total_Dead
27-06-19 A2,1,0
27-06-19 A2,2,0
27-06-19 A2,3,0
27-06-19 A2,4,0
27-06-19 A2,12,10
27-06-19 A2,13,10
27-06-19 A2,14,11
27-06-19 A2,15,11
27-06-19 A2,16,11
27-06-19 A2,17,11
27-06-19 A2,18,11
27-06-19 A2,19,11
27-06-19 A2,20,11
27-06-19 A2,21,11
27-06-19 A2,22,10
27-06-19 A2,5,0
27-06-19 A2,6,0
27-06-19 A2,7,0
27-06-19 A2,8,0
27-06-19 A2,9,0
27-06-19 A2,10,0
27-06-19 A2,11,0
