Plate_Name,Day,Total_Dead
N-28-3-C,1,0
N-28-3-C,2,0
N-28-3-C,3,0
N-28-3-C,4,1
N-28-3-C,5,4
N-28-3-C,6,8
N-28-3-C,7,14
N-28-3-C,8,22
N-28-3-C,9,23
N-28-3-C,10,23
N-28-3-C,11,23
N-28-3-C,12,24
N-28-3-C,13,24
N-28-3-C,14,24
