Plate_Name,Day,Total_Dead
8-11-19 C(50),1,0
8-11-19 C(50),2,0
8-11-19 C(50),3,0
8-11-19 C(50),4,0
8-11-19 C(50),5,1
8-11-19 C(50),6,4
8-11-19 C(50),7,6
8-11-19 C(50),8,6
8-11-19 C(50),9,6
8-11-19 C(50),10,9
8-11-19 C(50),11,10
8-11-19 C(50),12,12
8-11-19 C(50),13,12
