Plate_Name,Day,Total_Dead
N-28-3-A,1,0
N-28-3-A,2,1
N-28-3-A,3,1
N-28-3-A,4,3
N-28-3-A,5,5
N-28-3-A,6,12
N-28-3-A,7,20
N-28-3-A,8,22
N-28-3-A,9,23
N-28-3-A,10,23
N-28-3-A,11,23
N-28-3-A,12,23
N-28-3-A,13,24
N-28-3-A,14,24
