Plate_Name,Day,Total_Dead
26-09-19 B(H),1,0
26-09-19 B(H),2,0
26-09-19 B(H),3,0
26-09-19 B(H),4,0
26-09-19 B(H),5,0
26-09-19 B(H),6,2
26-09-19 B(H),7,2
26-09-19 B(H),8,2
26-09-19 B(H),9,5
26-09-19 B(H),10,5
26-09-19 B(H),11,7
26-09-19 B(H),12,8
26-09-19 B(H),13,9
26-09-19 B(H),14,10
26-09-19 B(H),15,10
26-09-19 B(H),16,10
26-09-19 B(H),17,12
26-09-19 B(H),18,12
26-09-19 B(H),19,12
26-09-19 B(H),20,12
